module_id,module,status,completion_score,completion_label,schema_proto_count,schema_message_count,schema_endpoint_count,live_endpoint_count,live_sample_count,crosscutting_live_sample_count,live_field_path_count,proto_files,services,zpk_asset_count,next_action
progression,Fame / Level / General Progression,live-confirmed,85,substantial live structure,13,54,8,3,761,814,163,AppClient.proto;AppServer.proto;BattlePass.proto;Clubs.proto;Common.proto;CommonGameClient.proto;Elites.proto;GameHost.proto;GameServer.proto;PersonalAwards.proto;Race.proto;Services.proto;Vault.proto,AppClient;GameServer,4,"Open profile, fame/level progress, rank benefits and any progression history screen with markers."
sweepstakes,Sweepstakes / Scheduled Draws,live-confirmed (cross-cutting/config only),50,schema skeleton,3,14,6,0,0,1,2,Common.proto;Services.proto;Sweepstakes.proto,AppClient;AppServer,0,"Open sweepstakes/current draw, ticket balance and completed-draw/history screens with markers."
adventure,Adventure,live-confirmed,75,substantial live structure,3,21,5,2,3,0,28,Adventure.proto;Common.proto;Services.proto,AdventureClient;AdventureServer,0,"Open Adventure map/phase, difficulty, missions and milestone screens with markers."
tournaments,Content Tournaments,schema-only / live sample pending,30,schema skeleton,2,6,2,0,0,0,0,ContentTournament.proto;Services.proto,AppServer,0,"Open every tournament screen, content item, rules/rewards and leaderboard with markers."
race,Race,schema-only / live sample pending,30,schema skeleton,2,14,3,0,0,0,0,Race.proto;Services.proto,RaceClient;RaceServer,0,"Open race overview, reward tiers and both leaderboard/detail views with markers."
elites,Elites / Play Together,schema-only / live sample pending,30,schema skeleton,2,25,8,0,0,0,0,Elites.proto;Services.proto,ElitesClient;ElitesServer,0,"Open Elites event, missions/milestones, leaderboard and Play Together screens with markers."
personal_awards,Personal Awards,schema-only / live sample pending,30,schema skeleton,2,18,2,0,0,0,0,PersonalAwards.proto;Services.proto,GameHost,0,Locate and open personal-award/achievement progress screens with markers.
vouchers,Vouchers,schema-only / live sample pending,30,schema skeleton,3,7,1,0,0,0,0,AppClient.proto;Services.proto;Vouchers.proto,AppServer,0,"Open voucher event/shop, balance, item detail and tutorial screens with markers."
non_spin_bonus,Non-Spin Bonus Games,schema-only / live sample pending,35,schema skeleton,3,13,7,0,0,0,0,NonSpinBonusGame.proto;Services.proto;Slots.proto,AppServer;GameHost;SlotsGameClient;SlotsGameServer,3,Enter a slot with a visible non-spin bonus and mark trigger/start/end.
baccarat,Baccarat,schema-only / live sample pending,30,schema skeleton,2,15,6,0,0,0,0,Baccarat.proto;Services.proto,BaccaratGameClient;BaccaratGameServer,0,Open a Baccarat room and mark join/config/betting/result.
blackjack,Blackjack,schema-only / live sample pending,30,schema skeleton,2,15,6,0,0,0,0,Blackjack.proto;Services.proto,BlackjackGameClient;BlackjackGameServer,0,Open a Blackjack room and mark betting/action/result states.
roulette,Roulette,schema-only / live sample pending,30,schema skeleton,2,14,6,0,0,0,0,Roulette.proto;Services.proto,RouletteGameClient;RouletteGameServer,0,Open a Roulette room and mark ready/betting/result.
texas_poker,Texas Poker,schema-only / live sample pending,30,schema skeleton,2,19,10,0,0,0,0,Services.proto;Texas.proto,TexasGameClient;TexasGameServer,0,"Open a Texas table/tournament and mark lobby, buy-in, hand and result."
video_poker,Video Poker,schema-only / live sample pending,30,schema skeleton,2,14,7,0,0,0,0,Services.proto;VideoPoker.proto,VideoPokerGameClient;VideoPokerGameServer,0,"Open Video Poker and mark first draw, hold selection, second draw and result."
economy,Currency / Balance / Economy Statistics,live-confirmed (cross-cutting/config only),65,partial live structure,7,17,2,0,0,4458,394,AppClient.proto;AppServer.proto;Common.proto;Definition.proto;GameServer.proto;Services.proto;Vault.proto,GameServer,12,"Mark visible balances before and after a spin, reward claim and shop preview in one marked session."
game_runtime,Game Runtime / Host / Room State,schema-only / live sample pending,35,schema skeleton,5,66,21,0,0,0,0,Common.proto;CommonGameClient.proto;GameHost.proto;GameServer.proto;Services.proto,GameHost;GameServer,7,"Use markers for lobby entry, game join, room loaded, game leave and reconnect."
authentication,Authentication / Account / Consent,live-confirmed,90,substantial live structure,5,59,17,4,6,1,186,AppClient.proto;AppServer.proto;HuuugeLogin.proto;Services.proto;Sweepstakes.proto,AppClient;AppServer;HuuugeLogin,3,No deliberate re-login is needed for cataloging; capture only a natural cold start with manifest/markers.
player_lobby,Player / Game / Lobby State,live-confirmed,90,substantial live structure,4,55,29,9,3050,49,124,AppClient.proto;AppServer.proto;Common.proto;Services.proto,AppClient;AppServer,10,"Mark cold-start lobby loaded, profile opened, friends/leaderboard opened and game-list navigation."
social,Social Recommendations / Invites,schema-only / live sample pending,30,schema skeleton,2,5,2,0,0,0,0,Common.proto;Services.proto,ExperimentalSocialRecommendationsServer,0,Open any invite/recommendation/referral screen with a marker.
contact_point,Contact Point / Engagement Surface,live-confirmed,60,partial live structure,4,4,2,1,1,0,2,AppClient.proto;AppServer.proto;ContactPoint.proto;Services.proto,AppServer;ContactPointClient,0,Open any inbox/contact/help/engagement surface that resembles a contact point and mark it.
liveops_events,Other LiveOps / DCI / Tower / Balloons,live-confirmed,90,substantial live structure,4,88,18,4,382,0,270,AppClient.proto;AppServer.proto;Common.proto;Services.proto,AppClient;AppServer,5,"Open Tower, Balloons and every unmatched live-event tile with distinct markers."
platform_diagnostics,HTF / Proxy / Test Infrastructure,schema-only / live sample pending,30,schema skeleton,6,74,11,0,0,0,0,Definition.proto;Htf.proto;HtfApp.proto;ProxyTestServer.proto;Rpc.proto;Services.proto,ProxyTestServer,0,No gameplay action is required; keep this module schema-only unless naturally emitted diagnostic traffic appears.
other_protocol,Other / Unclassified Protocol Families,live-confirmed,85,substantial live structure,5,92,13,5,10,0,20,AppClient.proto;AppServer.proto;Common.proto;Rpc.proto;Services.proto,AppClient;AppServer,0,Review new unknown endpoints after every marked capture and split coherent families into new dossiers.
